RH,Dmin/D0
1.195601119,0.189206013
1.978706805,0.189442805
2.761812491,0.189578114
3.544918177,0.189578114
4.328023863,0.189578114
5.111129548,0.189578114
5.894235234,0.189578114
6.67734092,0.189578114
7.460446606,0.189578114
8.243552292,0.189578114
9.026657977,0.189578114
9.809763663,0.189578114
10.59286935,0.189578114
11.37597503,0.189578114
12.15908072,0.189578114
12.94218641,0.189578114
13.72529209,0.189578114
14.50839778,0.189578114
15.29150346,0.189578114
16.07460915,0.189578114
16.85771484,0.189578114
17.64082052,0.189578114
18.42392621,0.189578114
19.20703189,0.189578114
19.99013758,0.189578114
20.77324326,0.189578114
21.55634895,0.189578114
22.33945464,0.189578114
23.12256032,0.189578114
23.90566601,0.189578114
24.68877169,0.189578114
25.47187738,0.189578114
26.25498307,0.189578114
27.03808875,0.189578114
27.82119444,0.189578114
28.60430012,0.189578114
29.38740581,0.189578114
30.17051149,0.189578114
30.95361718,0.189578114
31.73672287,0.189578114
32.51982855,0.189578114
33.30293424,0.189578114
34.08603992,0.189578114
34.86914561,0.189578114
35.6522513,0.189578114
36.43535698,0.189578114
37.21846267,0.189578114
38.00156835,0.189578114
38.78467404,0.189578114
39.56777972,0.189578114
40.35088541,0.189578114
41.1339911,0.189578114
41.91709678,0.189578114
42.70020247,0.189578114
43.48330815,0.189578114
44.26641384,0.189578114
45.04951952,0.189578114
45.83262521,0.189578114
46.6157309,0.189578114
47.39883658,0.189578114
48.18194227,0.189578114
48.96504795,0.189578114
49.74815364,0.189578114
50.53125933,0.189578114
51.31436501,0.189578114
52.0974707,0.189578114
52.88057638,0.189578114
53.66368207,0.189611941
54.44678775,0.192013679
55.22989344,0.193197635
56.01299913,0.193772699
56.79610481,0.194246281
57.5792105,0.194753691
58.36231618,0.195497891
59.14542187,0.196411229
59.92852756,0.197459875
60.71163324,0.198440867
61.49473893,0.199388031
62.27784461,0.200741123
63.0609503,0.202263352
63.84405598,0.20378558
64.62716167,0.205307809
65.41026736,0.20679621
66.19337304,0.208318439
66.97647873,0.209874494
67.75958441,0.211396723
68.5426901,0.212885124
69.32579578,0.21444118
70.10890147,0.215963409
70.89200716,0.217519464
71.67511284,0.219616757
72.45821853,0.221240467
73.24132421,0.222559732
74.0244299,0.224454061
74.80753559,0.226483699
75.59064127,0.22847951
76.37374696,0.23061063
77.15685264,0.23311385
77.93995833,0.235684725
78.72306401,0.238323254
79.5061697,0.241029439
80.28927539,0.24414155
81.07238107,0.247321317
81.85548676,0.250467255
82.63859244,0.253579367
83.42169813,0.257063579
84.20480382,0.26081841
84.9879095,0.26494534
85.77101519,0.269342889
86.55412087,0.274315503
87.33722656,0.279626389
88.12033224,0.285241721
88.90343793,0.291229153
89.68654362,0.298265232
90.4696493,0.305580386
91.21715927,0.313301467
91.96466925,0.321031005
92.71217922,0.3293762
93.31730634,0.338099295
94.13600774,0.352434016
94.48375047,0.36280512
94.88351771,0.372130526
95.27183458,0.380837673
95.64628299,0.389741502
95.93952386,0.399783781
96.17920167,0.408521936
96.50905527,0.418078713
96.68466079,0.426978112
96.92218128,0.436043828
97.09692387,0.445278682
97.3141964,0.456028515
97.46776648,0.466867265
97.5887919,0.475599219
97.75253218,0.484095509
97.8735576,0.493435227
98.00299656,0.502920402
98.15323821,0.514714049
98.27528065,0.528614654
98.44308901,0.548282813
98.44856528,0.541842615
98.54713802,0.556583512
98.65666329,0.568815985
98.69621408,0.579249828
98.80616528,0.588618487
98.84434978,0.599666483
98.93125879,0.611991702
98.9852391,0.625622431
99.06855654,0.639553703
99.15500327,0.653959301
99.20839684,0.667292896
99.26687551,0.680458159
99.36412809,0.69561128
99.40925836,0.707222803
99.45558929,0.714363585
99.47981415,0.725728149
99.54260104,0.737227082
99.5607944,0.745198297
99.57840491,0.757050671
99.62718174,0.782130372
99.65334325,0.796349687
99.72453468,0.826613845
99.74148502,0.838450179
99.81267645,0.886256209
99.83132182,0.948439487
99.84818295,0.960256609
99.86691753,0.980663374
99.89234304,0.988504059
99.93810896,0.997035787
